Date;Allianz SE;BASF AG;Bayer AG;Beiersdorf AG;BMW AG;Commerzbank AG;Daimler AG;Deutsche Bank AG;Deutsche Lufthansa AG;E.ON SE;HeidelbergCement AG,;Henkel KGaA Pfd.;K+S AG;Linde AG;MAN AG;Muenchener Rueckversicherungs-Gesellschaft AG;RWE AG;Siemens AG;ThyssenKrupp AG;Volkswagen AG Pfd.;Germany, Equity Indices, DAX, Total Return, Close, EUR
01.07.1996;121.83;10.11;23.82;11.84;13.05;103.37;35.19;34.05;10.49;12.23;34.49;11.21;2.57;42.58;18.27;79.09;26.9;25.67;14.19;17.55;2473.35
01.08.1996;118.68;11.27;25.46;11.56;13.57;103.28;36.16;33.37;10.49;12.67;33.63;10.37;2.27;42.26;18.88;81.65;27.56;25.83;14.15;19.07;2543.83
01.09.1996;121.29;12.27;26.94;12.49;13.81;105.4;37.68;32.83;10.84;13.04;36.44;11.32;2.17;44.78;20.05;83.05;29.45;26.58;15.65;19.81;2651.85
01.10.1996;122.37;12.38;27.54;13.05;14.01;102.5;39.91;32.02;9.87;13.18;38.32;11.58;1.84;43.06;18.75;86.89;31.87;25.85;15.38;21.27;2659.25
01.11.1996;126.28;14.55;29.78;13.09;15.77;114.33;45.1;33.47;9.87;14.68;38.36;13.05;1.95;42.9;18.44;88.69;34.77;24.48;15.51;21.9;2845.52
01.12.1996;126.06;15.16;30.22;12.97;16.97;118.24;47.6;32.83;10.47;14.52;42.6;13.17;1.51;43.17;18.98;92.29;33.34;23.95;16.06;22.89;2888.69
01.01.1997;137.09;15.16;29.93;14.32;16.59;125.51;51.86;37.3;11.02;14.79;47.56;14.18;1.73;47.35;20.96;91.21;35.43;26.54;16.86;27.82;3035.15
01.02.1997;147.89;15.92;34.28;15.65;17.96;131.31;54.98;40;11.16;15.77;47.56;15.34;1.86;50.52;21.96;101.53;38.7;28.19;17.4;29.77;3259.64
01.03.1997;155.1;16.11;33.39;15.17;21.35;145.15;59.9;42.87;12.04;15.41;49.89;15.65;1.82;53.97;24.37;104.17;38.07;29.7;20.96;33.66;3429.05
01.04.1997;151.27;17.08;33.15;15.01;22.42;140.48;57.74;41.73;12.04;14.56;48.35;16.02;1.71;58.1;25.39;100.69;36.81;30.98;20.54;39.72;3438.07
01.05.1997;162.75;16.11;31.87;15.51;22.12;151.83;59.04;43.24;13.56;15.77;54.75;16.43;1.96;53.97;24.88;104.41;37.22;31.82;20.31;38.89;3547.84
01.06.1997;164.33;16.48;32.25;15.34;22.82;149.41;63.54;46.76;16.67;16;56.45;16.87;2.04;61.32;27.32;117.37;38.35;34.2;21.99;45.37;3785.77
01.07.1997;211.6;18.06;37.24;15.1;23.69;190.51;69.51;56.85;18.47;17.45;59.09;17.47;1.88;62.47;28.21;165.85;41.82;42.31;21;47.64;4438.93
